stid,seqNum,latitude,longitude,time,behavior
2584534,99,35.20331,-80.93732,2025-04-12 11:25:56+00:00,1
2584534,246,35.20331,-80.93732,2025-04-12 11:25:57+00:00,1
2584534,128,35.20331,-80.93732,2025-04-12 11:25:59+00:00,1
2584534,110,35.20331,-80.93732,2025-04-12 11:25:58+00:00,1
2584534,6,35.20331,-80.93732,2025-04-12 11:26:00+00:00,1
2584534,143,35.20331,-80.93732,2025-04-12 11:26:01+00:00,1
2584534,22,35.20331,-80.93732,2025-04-12 11:26:02+00:00,1
2584534,157,35.20331,-80.93732,2025-04-12 11:26:03+00:00,1
2584534,206,35.20331,-80.93733,2025-04-12 11:38:41+00:00,1
2584534,98,35.20331,-80.93733,2025-04-12 11:38:42+00:00,1
2584534,2,35.20331,-80.93733,2025-04-12 11:38:43+00:00,1
2584534,167,35.20331,-80.93733,2025-04-12 11:38:44+00:00,1
2584534,203,35.20331,-80.93733,2025-04-12 11:38:46+00:00,1
2584534,56,35.20331,-80.93733,2025-04-12 11:38:45+00:00,1
2584534,97,35.20331,-80.93733,2025-04-12 11:38:47+00:00,1
2584534,255,35.20331,-80.93733,2025-04-12 11:38:48+00:00,1
2584534,162,35.20331,-80.93733,2025-04-12 11:38:49+00:00,1
2584534,52,35.20331,-80.93733,2025-04-12 11:38:50+00:00,1
2584534,201,35.20331,-80.93733,2025-04-12 11:38:51+00:00,1
2584534,95,35.20331,-80.93733,2025-04-12 11:38:52+00:00,1
2584534,242,35.20331,-80.93733,2025-04-12 11:38:53+00:00,1
2584534,155,35.20332,-80.93733,2025-04-12 11:38:54+00:00,1
2584534,49,35.20332,-80.93733,2025-04-12 11:38:55+00:00,1
2584534,230,35.20331,-80.93732,2025-04-12 11:54:39+00:00,1
2584534,101,35.20331,-80.93732,2025-04-12 11:54:40+00:00,1
2584534,235,35.20331,-80.93732,2025-04-12 11:54:41+00:00,1
2584534,112,35.20331,-80.93732,2025-04-12 11:54:42+00:00,1
2584534,246,35.20331,-80.93732,2025-04-12 11:54:43+00:00,1
2584534,120,35.20331,-80.93732,2025-04-12 11:54:44+00:00,1
2584534,251,35.20331,-80.93732,2025-04-12 11:54:45+00:00,1
2584534,129,35.20331,-80.93732,2025-04-12 11:54:46+00:00,1
2584534,26,35.20331,-80.93732,2025-04-12 11:54:47+00:00,1
2584534,151,35.20331,-80.93732,2025-04-12 11:54:48+00:00,1
2584534,18,35.20331,-80.93732,2025-04-12 11:54:49+00:00,1
2584534,146,35.20331,-80.93732,2025-04-12 11:54:50+00:00,1
2584534,17,35.20331,-80.93732,2025-04-12 11:54:51+00:00,1
2585490,249,35.21455,-80.9379,2025-04-12 11:10:45+00:00,1
2585490,100,35.21455,-80.9379,2025-04-12 11:10:46+00:00,1
2585490,207,35.21455,-80.9379,2025-04-12 11:10:47+00:00,1
2585490,57,35.21455,-80.9379,2025-04-12 11:10:48+00:00,1
2585490,161,35.21455,-80.9379,2025-04-12 11:10:49+00:00,1
2585490,11,35.21455,-80.9379,2025-04-12 11:10:50+00:00,1
2585490,113,35.21455,-80.9379,2025-04-12 11:10:51+00:00,1
2585490,219,35.21455,-80.9379,2025-04-12 11:10:52+00:00,1
2585490,71,35.21455,-80.9379,2025-04-12 11:10:53+00:00,1
2585490,176,35.21455,-80.9379,2025-04-12 11:10:54+00:00,1
2585490,30,35.21455,-80.9379,2025-04-12 11:10:55+00:00,1
2585490,141,35.21455,-80.9379,2025-04-12 11:10:56+00:00,1
2585490,248,35.21455,-80.9379,2025-04-12 11:10:57+00:00,1
2585490,25,35.2145,-80.93794,2025-04-12 11:25:50+00:00,1
2585490,159,35.21451,-80.93794,2025-04-12 11:25:51+00:00,1
2585490,32,35.21451,-80.93794,2025-04-12 11:25:52+00:00,1
2585490,167,35.21451,-80.93794,2025-04-12 11:25:53+00:00,1
2585490,48,35.21451,-80.93794,2025-04-12 11:25:54+00:00,1
2585490,178,35.2145,-80.93794,2025-04-12 11:25:55+00:00,1
2585490,59,35.21451,-80.93794,2025-04-12 11:25:56+00:00,1
2585490,188,35.2145,-80.93794,2025-04-12 11:25:57+00:00,1
2585490,68,35.2145,-80.93794,2025-04-12 11:25:58+00:00,1
2585490,204,35.2145,-80.93794,2025-04-12 11:25:59+00:00,1
2585490,80,35.2145,-80.93794,2025-04-12 11:26:00+00:00,1
2585490,217,35.21451,-80.93794,2025-04-12 11:26:01+00:00,1
2585490,96,35.21451,-80.93794,2025-04-12 11:26:02+00:00,1
2585490,230,35.21451,-80.93794,2025-04-12 11:26:03+00:00,1
2585490,66,35.21455,-80.9379,2025-04-12 11:38:41+00:00,1
2585490,191,35.21455,-80.9379,2025-04-12 11:38:42+00:00,1
2585490,74,35.21455,-80.9379,2025-04-12 11:38:43+00:00,1
